angle_deg,distance_mm,quality
3.197031250000000000e+02,2.442500000000000000e+02,4.300000000000000000e+01
3.205625000000000000e+02,2.497500000000000000e+02,4.700000000000000000e+01
3.213281250000000000e+02,2.505000000000000000e+02,5.600000000000000000e+01
3.221718750000000000e+02,2.487500000000000000e+02,5.600000000000000000e+01
3.230000000000000000e+02,2.485000000000000000e+02,5.500000000000000000e+01
3.238437500000000000e+02,2.460000000000000000e+02,4.900000000000000000e+01
3.247031250000000000e+02,2.435000000000000000e+02,4.700000000000000000e+01
3.255468750000000000e+02,2.407500000000000000e+02,4.600000000000000000e+01
3.263906250000000000e+02,2.380000000000000000e+02,4.500000000000000000e+01
3.272343750000000000e+02,2.360000000000000000e+02,4.500000000000000000e+01
3.280625000000000000e+02,2.337500000000000000e+02,4.500000000000000000e+01
3.289062500000000000e+02,2.307500000000000000e+02,4.500000000000000000e+01
3.297343750000000000e+02,2.277500000000000000e+02,4.500000000000000000e+01
3.305781250000000000e+02,2.262500000000000000e+02,4.600000000000000000e+01
3.314062500000000000e+02,2.252500000000000000e+02,4.600000000000000000e+01
3.322500000000000000e+02,2.240000000000000000e+02,4.600000000000000000e+01
3.330781250000000000e+02,2.225000000000000000e+02,4.500000000000000000e+01
3.339218750000000000e+02,2.207500000000000000e+02,4.600000000000000000e+01
3.347656250000000000e+02,2.190000000000000000e+02,4.600000000000000000e+01
3.356093750000000000e+02,2.180000000000000000e+02,4.600000000000000000e+01
3.364375000000000000e+02,2.172500000000000000e+02,4.700000000000000000e+01
3.372812500000000000e+02,2.162500000000000000e+02,4.700000000000000000e+01
3.382187500000000000e+02,2.145000000000000000e+02,4.800000000000000000e+01
3.390781250000000000e+02,2.137500000000000000e+02,4.700000000000000000e+01
3.399375000000000000e+02,2.132500000000000000e+02,4.700000000000000000e+01
3.407968750000000000e+02,2.117500000000000000e+02,4.700000000000000000e+01
3.416093750000000000e+02,2.117500000000000000e+02,4.800000000000000000e+01
3.424531250000000000e+02,2.122500000000000000e+02,4.800000000000000000e+01
3.432968750000000000e+02,2.115000000000000000e+02,4.800000000000000000e+01
3.441406250000000000e+02,2.097500000000000000e+02,4.800000000000000000e+01
3.450000000000000000e+02,2.085000000000000000e+02,4.900000000000000000e+01
3.458437500000000000e+02,2.080000000000000000e+02,4.900000000000000000e+01
3.466875000000000000e+02,2.077500000000000000e+02,4.900000000000000000e+01
3.475312500000000000e+02,2.077500000000000000e+02,4.900000000000000000e+01
3.483437500000000000e+02,2.075000000000000000e+02,5.000000000000000000e+01
3.491875000000000000e+02,2.075000000000000000e+02,4.900000000000000000e+01
3.500156250000000000e+02,2.067500000000000000e+02,4.900000000000000000e+01
3.508593750000000000e+02,2.065000000000000000e+02,5.000000000000000000e+01
3.517343750000000000e+02,2.072500000000000000e+02,5.000000000000000000e+01
3.525781250000000000e+02,2.075000000000000000e+02,5.000000000000000000e+01
3.534218750000000000e+02,2.077500000000000000e+02,5.000000000000000000e+01
3.542656250000000000e+02,2.077500000000000000e+02,5.000000000000000000e+01
3.551562500000000000e+02,2.067500000000000000e+02,4.900000000000000000e+01
3.560156250000000000e+02,2.067500000000000000e+02,5.000000000000000000e+01
3.568593750000000000e+02,2.065000000000000000e+02,4.900000000000000000e+01
3.577187500000000000e+02,2.057500000000000000e+02,4.900000000000000000e+01
