index,lidar_rgb1_x_m,lidar_rgb1_y_m,lidar_rgb1_z_m,nearest_stereo_x_m,nearest_stereo_y_m,nearest_stereo_z_m,nearest_error_m
40,1.1650237634324059,0.11249021427461166,0.9646904645982886,0.60114914,0.09316735,1.17498755,0.6021235987430382
41,1.1783772819866976,0.11383018452986661,0.9455253487754509,0.60114914,0.09316735,1.17498755,0.6215079906349067
42,1.1894382822307377,0.11494748983239662,0.9288415575387835,0.60114914,0.09316735,1.17498755,0.6380801979080789
43,1.2026864343773696,0.11624068990645478,0.9137953622289553,0.60114914,0.09316735,1.17498755,0.6562018397520001
44,1.2165631859294703,0.11758520298884724,0.8991365265825323,0.60114914,0.09316735,1.17498755,0.6748514403869413
45,1.2287479326277242,0.11875184255555567,0.8877926127270286,0.60114914,0.09316735,1.17498755,0.690663262930879
46,1.2430915492662051,0.12012668018111508,0.8742749217159963,0.60114914,0.09316735,1.17498755,0.7093975945179034
47,1.256231405230011,0.12140033445571258,0.8603354614632276,0.58892719,0.08997439,1.14737713,0.7271006980639261
48,1.2690279120724608,0.12265150375178108,0.8455768481284706,0.58892719,0.08997439,1.14737713,0.7447739227875556
49,1.2818686979521063,0.12390705795788974,0.8307610763758485,0.58892719,0.08997439,1.14737713,0.7626041468614048
50,1.2951822737103567,0.12520207969316455,0.8161409179623584,0.57458515,0.08305676,1.11336452,0.7806268713539833
51,1.3085511931591938,0.12649816728986135,0.801933237393249,0.57458515,0.08305676,1.11336452,0.79848779086732
52,1.3239283396047743,0.12796456530315425,0.7882640244410083,0.57458515,0.08305676,1.11336452,0.8180600583067876
53,1.3383018124713966,0.12935022515537198,0.7738456162635385,0.56735522,0.0813171,1.09628162,0.8370369203691009
54,1.349894868376209,0.13050846683118725,0.7577632549431422,0.56735522,0.0813171,1.09628162,0.8540390947329339
55,1.3619856174399734,0.13170400775563348,0.7423523568661446,0.56735522,0.0813171,1.09628162,0.8713450707447989
56,1.370989746738209,0.1326498815593399,0.7247877499110069,0.56735522,0.0813171,1.09628162,0.8868321163230738
57,0.6797803191481356,0.07575276581610106,0.35071615579600735,0.34529667,0.12538813,0.54947464,0.3922345165435981
58,0.693136626435837,0.07695881917483435,0.34625683652399375,0.34529667,0.12538813,0.54947464,0.40575301488701
59,0.7093085832909405,0.0784037729786862,0.3425398236263014,0.34529667,0.12538813,0.54947464,0.42134809961604647
60,0.7241264055683038,0.07973923752343662,0.3378732964063557,0.34529667,0.12538813,0.54947464,0.4363151596560946
61,0.73779182858767,0.08098147327461849,0.33240429567779906,0.34529667,0.12538813,0.54947464,0.45071491550695875
62,0.7536634040356455,0.08240842326885912,0.3277878784070371,0.36318401,0.13338917,0.57783014,0.4664700700862096
63,0.7670644936405204,0.0836340116291768,0.3216155567135869,0.36318401,0.13338917,0.57783014,0.48087517459194823
64,0.20944928551461509,0.03725661590962295,0.07214291520586269,0.22062563,0.02173256,0.40063552,0.3290490820415374
65,0.20483337752910344,0.03689232960345115,0.06792682072386588,0.22062563,0.02173256,0.40063552,0.33342809183773237
66,0.20308141385905362,0.03677137050246311,0.06442969339636635,0.22062563,0.02173256,0.40063552,0.33699899581981224
67,0.20126598778874044,0.036643816256718545,0.061048525467621406,0.17875368,0.02974829,0.40055897,0.34032586476920235
68,0.19868272031473397,0.03645069253908009,0.05751098142023321,0.17875368,0.02974829,0.40055897,0.3436917387955171
69,0.19677105007468157,0.03631368727284214,0.054245288874648356,0.17875368,0.02974829,0.40055897,0.34684419528132515
70,0.18447087757182598,0.03531197284517086,0.04640720969843684,0.17875368,0.02974829,0.40055897,0.3542415986859431
71,0.17946098289853285,0.034906723865877766,0.042913069232426396,0.17875368,0.02974829,0.40055897,0.35768379898059127
72,0.17414401684016764,0.03447327901899893,0.03957273004919672,0.17875368,0.02974829,0.40055897,0.36104658972145925
73,0.16238574266007827,0.033506523633314286,0.033085414010474795,0.17875368,0.02974829,0.40055897,0.36785710275104505
